x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,weight
cbfb,e2f4,cbfb---e2f4,basal,MIIC,P,NA,22.584875,0.163734106339684,22.584875,10.012675,199,12.5722,0.0911449778545941,1,FALSE,+,0.444371351541209,0.5,0.5,NA
acvr1b,erbb3,acvr1b---erbb3,basal,MIIC,P,NA,22.157504,0.160635784619484,22.157504,9.990571,199,12.166933,0.0882069040297903,1,FALSE,+,0.449916342920087,0.5,0.5,NA
dab2,hdac2,dab2---hdac2,basal,MIIC,P,NA,22.080316,0.160076192936991,22.080316,9.928181,199,12.152135,0.0880996226166493,1,FALSE,-,-0.432849219008878,0.5,0.5,NA
ctbp2,sf3b1,ctbp2---sf3b1,basal,MIIC,P,NA,22.021281,0.159648205491067,22.021281,9.909397,199,12.111884,0.087807813983027,1,FALSE,+,0.340416233312765,0.5,0.5,NA
eif4e,gsk3b,eif4e---gsk3b,basal,MIIC,P,NA,32.085988,0.232614551606145,32.085988,20.008325,199,12.077663,0.0875597211840609,1,FALSE,-,-0.396221099773719,0.0760013119246977,0.5,NA
casp8,eif5a2,casp8---eif5a2,basal,MIIC,P,NA,21.882263,0.158640363384563,21.882263,9.925354,199,11.956909,0.0866842880334704,1,FALSE,-,-0.464045348038232,0.5,0.5,NA
eif4e,nt5e,eif4e---nt5e,basal,MIIC,P,NA,26.619243,0.192982160142303,26.619243,14.744925,199,11.874318,0.0860855260931586,1,FALSE,+,0.307495168073407,0.5,0.5,NA
ptprm,rab25,ptprm---rab25,basal,MIIC,P,NA,21.809299,0.158111394535501,21.809299,9.959495,199,11.849804,0.0859078063633477,1,FALSE,-,-0.366952681049104,0.5,0.5,NA
bcl2l1,ncoa3,bcl2l1---ncoa3,basal,MIIC,P,NA,26.58165,0.192709621274604,26.58165,14.804905,199,11.776745,0.0853781487905221,6,FALSE,+,0.441634590093072,0.646687308483395,0.556487390575057,NA
kdm3a,zfp36l1,kdm3a---zfp36l1,basal,MIIC,P,epcam [13%],34.090136,0.24714407110769,15.908437,4.137863,199,11.770574,0.0853334107448069,1,FALSE,+,0.369805398800751,0.5,0.0229361840633385,NA
