x,y,weight,subtype,method,edge_id
mlst8,pdgfra,0.06777819643778304,luma,ARACNE,mlst8---pdgfra
eif4e,jag1,0.06768666382040767,luma,ARACNE,eif4e---jag1
wfdc2,pdgfra,0.06756472718789563,luma,ARACNE,pdgfra---wfdc2
pdgfra,maml1,0.067486634602735407,luma,ARACNE,maml1---pdgfra
casp8,hsd17b6,0.06742178819447453,luma,ARACNE,casp8---hsd17b6
acvr2b,afdn,0.06672172955191336,luma,ARACNE,acvr2b---afdn
taf1,maml1,0.06666818669487196,luma,ARACNE,maml1---taf1
syne1,pms2,0.06654104690213547,luma,ARACNE,pms2---syne1
afdn,fbxw7,0.06652889087723057,luma,ARACNE,afdn---fbxw7
eif5a2,mmp11,0.06640849255117587,luma,ARACNE,eif5a2---mmp11
map4,dab2,0.06610400607990563,luma,ARACNE,dab2---map4
casp8,nf2,0.06590193790031584,luma,ARACNE,casp8---nf2
casp8,arid1a,0.06572201754640794,luma,ARACNE,arid1a---casp8
adam10,kdm6a,0.06562192572858638,luma,ARACNE,adam10---kdm6a
ctbp2,sf3b1,0.06559284189062886,luma,ARACNE,ctbp2---sf3b1
map2k2,fbxw7,0.0654975608938475,luma,ARACNE,fbxw7---map2k2
stk11,akt1s1,0.06533316077563533,luma,ARACNE,akt1s1---stk11
pdgfra,arid5b,0.06525382657736145,luma,ARACNE,arid5b---pdgfra
pdgfra,akr1c4,0.06514381380966494,luma,ARACNE,akr1c4---pdgfra
birc6,chd1,0.06505562094980455,luma,ARACNE,birc6---chd1
adam10,fgf1,0.06499255145227067,luma,ARACNE,adam10---fgf1
adam10,smad7,0.06491900473994594,luma,ARACNE,adam10---smad7
taf1,map2k2,0.06491633163303501,luma,ARACNE,map2k2---taf1
akt1s1,stat3,0.06479766366907835,luma,ARACNE,akt1s1---stat3
arid1a,stat3,0.06474109063641187,luma,ARACNE,arid1a---stat3
jak1,chd1,0.06463018011155519,luma,ARACNE,chd1---jak1
mmp27,pdgfra,0.0645326055169404,luma,ARACNE,mmp27---pdgfra
col12a1,myh9,0.06429751363119873,luma,ARACNE,col12a1---myh9
ncstn,akr1c4,0.06425953760730785,luma,ARACNE,akr1c4---ncstn
syne1,maml1,0.06425684752245875,luma,ARACNE,maml1---syne1
igf1,psen2,0.06421056624686106,luma,ARACNE,igf1---psen2
st7,eif5a2,0.06412117139565598,luma,ARACNE,eif5a2---st7
smad1,ctbp2,0.06409158046105112,luma,ARACNE,ctbp2---smad1
map3k1,serpini1,0.0639847837048535,luma,ARACNE,map3k1---serpini1
zfp36l1,arid5b,0.06384932529146603,luma,ARACNE,arid5b---zfp36l1
arid1a,eif5a2,0.06381130399961421,luma,ARACNE,arid1a---eif5a2
