x,y,edge_id,subtype,method,type,ai,info,info_bits,info_cond,cplx,n_xy_ai,info_shifted,info_shifted_bits,ort_inferred,is_causal,sign,partial_correlation,p_y2x,p_x2y,consensus
bmf,prkcq,bmf---prkcq,basal,MIIC,P,NA,12.515532,0.0907341505049605,12.515532,9.731141,199,2.784391,0.0201860657668134,1,FALSE,-,-0.249184269606077,0.5,0.5,3-method
ccne1,gldc,ccne1---gldc,basal,MIIC,P,NA,12.240771,0.0887422091374746,12.240771,9.9925,199,2.248271,0.016299343830525,-2,FALSE,+,0.360617618630154,0.999980290591724,0.5,3-method
ccnd2,pdgfrb,ccnd2---pdgfrb,basal,MIIC,P,dab2 [59%],15.127859,0.109672799791796,9.082572,6.930845,199,2.151727,0.015599426493703,2,FALSE,+,0.21902021399343,0.5,0.767312969829953,3-method
asxl1,mapk4,asxl1---mapk4,basal,MIIC,P,NA,11.752281,0.0852007915469025,11.752281,9.97132,199,1.780961,0.0129114753905359,1,FALSE,+,0.32873102537776,0.5,0.5,3-method
folr1,mmp17,folr1---mmp17,basal,MIIC,P,NA,11.734264,0.0850701732727733,11.734264,10.019453,199,1.714811,0.0124319061596073,1,FALSE,-,-0.190144879867015,0.5,0.5,3-method
pms2,rad51,pms2---rad51,basal,MIIC,P,sf3b1 [85%];runx1 [1%],27.42285,0.198808088954984,5.475691,4.111243,199,1.364448,0.00989187117161239,1,FALSE,+,0.295107683089987,0.0972758992751764,0.5,3-method
asxl2,mmp3,asxl2---mmp3,basal,MIIC,P,NA,11.334968,0.0821753875489201,11.334968,10.021154,199,1.313814,0.00952478865553012,1,FALSE,-,-0.308568191603713,0.5,0.5,3-method
hdac2,kdm3a,hdac2---kdm3a,basal,MIIC,P,epcam [83%],17.494542,0.126830597919717,13.288539,12.426037000000001,199,0.862501999999999,0.00625290129727041,1,FALSE,+,0.299852210748222,0.5,0.5,3-method
map2k1,mapk9,map2k1---mapk9,basal,MIIC,P,adam10 [93%],23.137975,0.167743928586497,6.576008,5.974679,199,0.601329,0.00435946917709909,2,FALSE,+,0.278992268378606,0.5,0.995052318187128,3-method
herc2,map2k5,herc2---map2k5,basal,MIIC,P,NA,10.052947,0.0728810893629125,10.052947,9.828343,199,0.224603999999999,0.00162831696966746,1,FALSE,+,0.229865261454145,0.5,0.5,3-method
bmpr1a,tnk2,bmpr1a---tnk2,basal,MIIC,P,NA,10.12665,0.0734154157578805,10.12665,10.024113,199,0.102537,7.43364931696641e-4,1,FALSE,-,-0.323953592132867,0.5,0.5,3-method
col6a3,mmp11,col6a3---mmp11,basal,MIIC,N,col12a1 [100%],60.197205,0.436413111200383,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
jak1,map2k1,jak1---map2k1,basal,MIIC,N,sf3b1 [100%],22.747175,0.164910736516248,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
adam10,mapk14,adam10---mapk14,basal,MIIC,N,sf3b1 [100%],20.759007,0.150497067601403,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
mecom,pik3r1,mecom---pik3r1,basal,MIIC,N,nr2f1 [100%],18.714873,0.135677660643049,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
eif4e,mapk9,eif4e---mapk9,basal,MIIC,N,adam10 [100%],21.495406,0.155835756975351,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
pms2,sf3b1,pms2---sf3b1,basal,MIIC,N,eif4e [100%],25.030792,0.181466329085041,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
mmp15,sf3b1,mmp15---sf3b1,basal,MIIC,N,jak1 [100%],23.249911,0.168555433672411,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
adam10,map2k1,adam10---map2k1,basal,MIIC,N,sf3b1 [100%],38.44561,0.278720054728398,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
eif4e,myc,eif4e---myc,basal,MIIC,N,jak1 [100%],17.654653,0.127991358450831,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
col6a3,dll1,col6a3---dll1,basal,MIIC,N,pdgfrb [100%],32.12375,0.23288831567717,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
mmp7,ttyh1,mmp7---ttyh1,basal,MIIC,N,ar [100%],18.052646,0.130876697784543,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
adam10,rad51,adam10---rad51,basal,MIIC,N,sf3b1 [100%],26.720105,0.193713381786595,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
epcam,erbb4,epcam---erbb4,basal,MIIC,N,ppp2cb [100%],15.324423,0.11109783450545101,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
eif4e,mapk6,eif4e---mapk6,basal,MIIC,N,adam10 [100%],19.17157,0.138988587764099,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
acvr2b,map2k1,acvr2b---map2k1,basal,MIIC,N,itgav [100%],14.644796,0.106170726452415,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
jak1,map4,jak1---map4,basal,MIIC,N,eif4e [100%],16.484494,0.119508028871175,0,0,199,0,0,0,NA,NA,0,NA,NA,3-method
