subtype,edge_id,source,target,direction,p_x2y,p_y2x,direction_strength,info
luma,acvr1---pdgfra,acvr1,pdgfra,acvr1 -> pdgfra,0.0611293666908336,0.5,0.4388706333091664,162.807272
luma,acvr2a---pdgfra,acvr2a,pdgfra,acvr2a -> pdgfra,0.0611293666908336,0.5,0.4388706333091664,149.624123
luma,ccnd1---pdgfra,ccnd1,pdgfra,ccnd1 -> pdgfra,0.0611293667950922,0.5,0.4388706332049078,70.549299
luma,gata3---pdgfra,gata3,pdgfra,gata3 -> pdgfra,0.0611293772109657,0.5,0.4388706227890343,62.431512
luma,pdgfra---wfdc2,wfdc2,pdgfra,wfdc2 -> pdgfra,0.5,0.0611304652108128,0.4388695347891872,42.261371
luma,pdgfra---ptpn22,ptpn22,pdgfra,ptpn22 -> pdgfra,0.5,0.0611584415150017,0.4388415584849983,64.551007
luma,kdm6a---sf3b1,kdm6a,sf3b1,kdm6a -> sf3b1,0.0612415050434645,0.5,0.4387584949565355,79.658957
luma,ackr3---pdgfra,ackr3,pdgfra,ackr3 -> pdgfra,0.0630606801440138,0.5,0.4369393198559862,61.039208
luma,fam20c---ptprm,fam20c,ptprm,fam20c -> ptprm,0.0635599468803938,0.5,0.4364400531196062,71.69099
luma,eif5a2---fam20c,fam20c,eif5a2,fam20c -> eif5a2,0.5,0.0659028009150355,0.43409719908496447,39.66356
luma,hsd17b6---stmn2,stmn2,hsd17b6,stmn2 -> hsd17b6,0.5,0.0684873046600323,0.4315126953399677,73.246804
luma,hsd17b6---syne1,syne1,hsd17b6,syne1 -> hsd17b6,0.5,0.0690042707481054,0.4309957292518946,119.536327
luma,dab2---foxo3,foxo3,dab2,foxo3 -> dab2,0.5,0.0700560032563281,0.4299439967436719,66.002983
luma,ccnd1---hsd17b6,ccnd1,hsd17b6,ccnd1 -> hsd17b6,0.0731089278337595,0.5,0.4268910721662405,50.517479
luma,bcl2l1---ncor2,ncor2,bcl2l1,ncor2 -> bcl2l1,0.420880746765318,2.80734070992299e-4,0.42060001269432573,44.184833
luma,asxl2---spen,asxl2,spen,asxl2 -> spen,0.00510242183218245,0.412160443890287,0.40705802205810454,71.978961
luma,map2k2---mapk6,mapk6,map2k2,mapk6 -> map2k2 (weak),0.50801431550163,0.107921433761279,0.400092881740351,73.60346
