subtype,x,y,direction,is_directed,info
basal,acvr2b,casp8,undirected,NA,12.206337
basal,akt1,mapt,undirected,NA,12.195321
basal,arid2,cdkn1b,undirected,FALSE,12.177437
basal,ctbp2,myc,undirected,NA,12.147626
basal,cdk6,cyp21a2,undirected,NA,12.112819
basal,cdkn1b,pms2,undirected,NA,12.108009
basal,mmp15,myc,undirected,NA,12.108003
basal,akt1,hsd17b6,undirected,NA,12.092004
basal,nr2f1,vegfa,undirected,NA,12.081009
basal,casp8,mapk9,undirected,NA,12.049257
basal,ccnd1,ccne1,undirected,FALSE,12.047153
basal,fam20c,mmp1,undirected,FALSE,12.036062
basal,dab2,pten,undirected,NA,12.02901
basal,mmp1,nt5e,undirected,NA,12.026488
basal,mmp1,tgfbr3,undirected,FALSE,12.018184
basal,casp8,runx1,undirected,NA,11.9761
basal,nf2,vegfa,undirected,FALSE,11.941013
basal,ar,myc,undirected,NA,11.858686
basal,ccnb1,col12a1,undirected,NA,11.845664
basal,src,thada,undirected,NA,11.839757
basal,akt1,pdgfrb,undirected,NA,11.838994
basal,dab2,erbb2,undirected,NA,11.800637
basal,cdkn1b,ubr5,undirected,FALSE,11.799348
basal,ccnd2,pten,undirected,NA,11.788448
basal,bcl2l1,rbl1,undirected,NA,11.743599
basal,erbb2,hey2,undirected,NA,11.723402
basal,sf3b1,src,undirected,NA,11.70429
basal,large1,pten,undirected,FALSE,11.703287
basal,cdkn1b,mmp15,undirected,NA,11.682112
basal,jak1,psen2,undirected,NA,11.64353
basal,ncoa2,src,undirected,NA,11.642268
basal,adam17,vegfa,undirected,NA,11.569191
basal,mmp12,runx1,undirected,NA,11.558956
basal,myc,thada,undirected,NA,11.520375
basal,cdk2,folr3,undirected,FALSE,11.512694
basal,map3k1,myc,undirected,NA,11.491647
basal,ptprd,vegfb,undirected,NA,11.430921
basal,bcl2l1,nras,undirected,NA,11.407969
basal,e2f3,mmp7,undirected,NA,11.404345
basal,cdkn1a,zfp36l1,undirected,NA,11.402999
basal,bmp4,pten,undirected,NA,11.392714
basal,erbb2,nras,undirected,NA,11.389492
basal,map3k5,myc,undirected,NA,11.335636
basal,pten,runx1,undirected,NA,11.302181
basal,adgra2,akt1,undirected,NA,11.285681
basal,cyp17a1,myc,undirected,FALSE,11.271143
basal,jak1,mmp13,undirected,NA,11.269909
basal,itgav,myc,undirected,NA,11.264699
basal,jak1,plagl1,undirected,NA,11.259941
basal,gata3,kdm6a,undirected,NA,11.257918
basal,cdkn1b,pdgfra,undirected,NA,11.203871
basal,bmp4,ccnb1,undirected,NA,11.158204
basal,myc,nf2,undirected,NA,11.154874
basal,mapk1,mmp12,undirected,FALSE,11.147746
basal,hsd17b3,vegfa,undirected,FALSE,11.144317
basal,cdk2,palb2,undirected,NA,11.071401
basal,fgf1,jak1,undirected,NA,11.039173
basal,cdkn1a,mtor,undirected,FALSE,11.031705
basal,map3k3,runx1,undirected,NA,11.02677
basal,akt1,hsd3b1,undirected,FALSE,10.987053
basal,hsd17b14,mmp11,undirected,FALSE,10.982312
basal,abcc10,jak1,undirected,NA,10.970895
basal,ccnb1,numbl,undirected,NA,10.964979
basal,afdn,e2f3,undirected,NA,10.947698
basal,ar,pten,undirected,NA,10.946518
basal,mmp11,nt5e,undirected,NA,10.942502
basal,palb2,runx1,undirected,NA,10.921954
basal,src,tubb4b,undirected,FALSE,10.919637
basal,itgav,mmp11,undirected,NA,10.870533
basal,abcc10,myc,undirected,NA,10.836761
basal,cacna2d3,mmp11,undirected,NA,10.829808
basal,jak1,nt5e,undirected,NA,10.809096
basal,cdk2,mapk14,undirected,NA,10.808749
basal,gata3,tbx3,undirected,NA,10.794868
basal,jak1,tubb4b,undirected,NA,10.78678
basal,fn1,jak1,undirected,NA,10.775146
basal,akt1,ncor2,undirected,NA,10.768078
basal,mapk1,mapt,undirected,FALSE,10.727282
basal,jak1,smad1,undirected,NA,10.711159
basal,bcl2l1,tgfb3,undirected,NA,10.687021
basal,hey2,mapk1,undirected,FALSE,10.676926
